"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"07.02.1999 Wählbarkeit in den Bundesrat";"Abgegebene Stimmen";1764453;333197;254827;104877;7777;28871;8212;11323;8229;26482;49793;68830;56787;72498;28779;15665;3734;113072;40334;131403;63779;69376;106809;40166;27533;82283;9817
"29.11.1998 Arbeitsgesetz";"Abgegebene Stimmen";1767694;317259;253708;92944;9737;28671;10859;11472;7794;24816;55420;64770;54892;63180;30299;15162;3414;102995;42026;137040;55955;65912;125881;57130;31727;85104;19527
"29.11.1998 Vernünftige Drogenpolitik";"Abgegebene Stimmen";1779697;322256;253707;93351;9835;28681;10903;11574;7814;24959;55548;64859;55387;63498;30400;15373;3434;104831;42790;138650;56161;65912;125938;57133;31773;85337;19593
"29.11.1998 Getreideartikel";"Abgegebene Stimmen";1763920;315749;253679;92830;9699;28676;10834;11453;7793;24762;55317;64674;54636;62977;30306;15164;3413;102630;41797;136618;55846;65912;125924;57148;31748;84808;19527
"29.11.1998 Finanzierung öffentlicher Verkehr (FinöV)";"Abgegebene Stimmen";1777023;320759;253678;93317;9834;28675;10909;11534;7803;24983;55481;64808;55115;63427;30424;15402;3433;104673;42787;138371;56141;65912;125950;57153;31717;85161;19576
"27.09.1998 10. AHV-Revision ohne Erhöhung Rentenalter";"Abgegebene Stimmen";2394024;383925;362042;138284;13815;42277;12733;15818;12436;36479;88612;92688;68564;90987;34124;21344;5871;153177;58153;177342;76881;78381;168128;85140;49366;100942;26515
"27.09.1998 Kleinbauern-Initiative";"Abgegebene Stimmen";2391658;382858;362040;138361;13794;42292;12742;15812;12431;36489;88685;92757;68279;90693;34123;21382;5892;152700;57973;177223;76928;78381;168114;85165;49393;100631;26520
"27.09.1998 Leistungsabhängige Schwerverkehrsabgabe (LSVA)";"Abgegebene Stimmen";2402260;386478;362040;138716;14023;42313;12763;15883;12454;36645;88681;92955;68700;91352;34187;21553;5898;154579;58880;178595;77152;78381;168124;85187;49408;100790;26523
"07.06.1998 S.o.S.-Initiative";"Abgegebene Stimmen";1897624;342944;261321;104516;8399;30358;7737;10748;11656;28167;53721;74677;66719;77419;30804;16266;3410;111566;42245;131060;57741;57281;126916;82883;37177;106504;15389
"07.06.1998 Gen-Schutz-Initiative";"Abgegebene Stimmen";1913034;348276;261305;105110;8564;30436;7777;10946;11747;28613;53956;74972;67377;78992;30882;16542;3433;113145;43353;132757;58150;57281;126958;82916;37222;106927;15397
