Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève
789576;676646;232583;25449;85954;22304;27150;24550;65035;158702;164254;119105;176158;48004;35626;10026;284893;128016;354019;142468;194935;367260;184289;104241;211889
789576;676646;232583;25449;85954;22304;27150;24550;65035;158702;164254;119105;176158;48004;35626;10026;284893;128016;354019;142468;194935;367260;184289;104241;211889
789576;676646;232583;25449;85954;22304;27150;24550;65035;158702;164254;119105;176158;48004;35626;10026;284893;128016;354019;142468;194935;367260;184289;104241;211889
789576;676646;232583;25449;85954;22304;27150;24550;65035;158702;164254;119105;176158;48004;35626;10026;284893;128016;354019;142468;194935;367260;184289;104241;211889
789576;676646;232583;25449;85954;22304;27150;24550;65035;158702;164254;119105;176158;48004;35626;10026;284893;128016;354019;142468;194935;367260;184289;104241;211889
788120;676980;232385;25478;85738;22278;27039;24571;64949;158626;163983;119468;175866;48036;35673;10066;284761;127916;353240;142428;194476;366762;183961;104413;211342
788120;676980;232385;25478;85738;22278;27039;24571;64949;158626;163983;119468;175866;48036;35673;10066;284761;127916;353240;142428;194476;366762;183961;104413;211342
788120;676980;232385;25478;85738;22278;27039;24571;64949;158626;163983;119468;175866;48036;35673;10066;284761;127916;353240;142428;194476;366762;183961;104413;211342
788120;676980;232385;25478;85738;22278;27039;24571;64949;158626;163983;119468;175866;48036;35673;10066;284761;127916;353240;142428;194476;366762;183961;104413;211342
788120;676980;232385;25478;85738;22278;27039;24571;64949;158626;163983;119468;175866;48036;35673;10066;284761;127916;353240;142428;194476;366762;183961;104413;211342
785473;675852;231627;25440;85133;22206;26957;24558;64691;157996;163512;119894;175700;48137;35622;10032;284281;127989;352338;141611;193550;366235;183539;104572;209614
784581;675545;231096;25447;84829;22144;26897;24592;64484;157776;163665;119980;175484;48075;35628;10021;284064;128039;351523;141460;193145;365726;183363;104770;208911
784581;675545;231096;25447;84829;22144;26897;24592;64484;157776;163665;119980;175484;48075;35628;10021;284064;128039;351523;141460;193145;365726;183363;104770;208911
784581;675545;231096;25447;84829;22144;26897;24592;64484;157776;163665;119980;175484;48075;35628;10021;284064;128039;351523;141460;193145;365726;183363;104770;208911
784581;675545;231096;25447;84829;22144;26897;24592;64484;157776;163665;119980;175484;48075;35628;10021;284064;128039;351523;141460;193145;365726;183363;104770;208911
784581;675545;231096;25447;84829;22144;26897;24592;64484;157776;163665;119980;175484;48075;35628;10021;284064;128039;351523;141460;193145;365726;183363;104770;208911
781168;675527;230269;25416;84038;22029;26699;24574;64068;156766;163554;121751;175053;48173;35566;9911;282883;127182;349923;140585;192054;365649;182333;104828;208389
781168;675527;230269;25416;84038;22029;26699;24574;64068;156766;163554;121751;175053;48173;35566;9911;282883;127182;349923;140585;192054;365649;182333;104828;208389
781168;675527;230269;25416;84038;22029;26699;24574;64068;156766;163554;121751;175053;48173;35566;9911;282883;127182;349923;140585;192054;365649;182333;104828;208389
781168;675527;230269;25416;84038;22029;26699;24574;64068;156766;163554;121751;175053;48173;35566;9911;282883;127182;349923;140585;192054;365649;182333;104828;208389
781168;675527;230269;25416;84038;22029;26699;24574;64068;156766;163554;121751;175053;48173;35566;9911;282883;127182;349923;140585;192054;365649;182333;104828;208389
779916;675171;230080;25422;83803;22008;26666;24573;64096;156372;163584;122032;174807;48261;35439;9917;282785;127450;349464;140451;192452;365099;182263;104725;208113
779658;675435;230111;25474;83464;22006;26590;24538;63917;156213;163614;122600;174813;48299;35510;9929;283328;127433;348975;140411;191544;365071;182212;104716;207843
779658;675435;230111;25474;83464;22006;26590;24538;63917;156213;163614;122600;174813;48299;35510;9929;283328;127433;348975;140411;191544;365071;182212;104716;207843
779658;675435;230111;25474;83464;22006;26590;24538;63917;156213;163614;122600;174813;48299;35510;9929;283328;127433;348975;140411;191544;365071;182212;104716;207843
779658;675435;230111;25474;83464;22006;26590;24538;63917;156213;163614;122600;174813;48299;35510;9929;283328;127433;348975;140411;191544;365071;182212;104716;207843
778760;675394;230020;25473;83378;22018;26531;24612;63630;156113;163768;123066;174844;48445;35519;9977;282899;126946;349097;140218;190882;365199;181697;104805;207650
778760;675394;230020;25473;83378;22018;26531;24612;63630;156113;163768;123066;174844;48445;35519;9977;282899;126946;349097;140218;190882;365199;181697;104805;207650
778760;675394;230020;25473;83378;22018;26531;24612;63630;156113;163768;123066;174844;48445;35519;9977;282899;126946;349097;140218;190882;365199;181697;104805;207650
778760;675394;230020;25473;83378;22018;26531;24612;63630;156113;163768;123066;174844;48445;35519;9977;282899;126946;349097;140218;190882;365199;181697;104805;207650
777916;675758;230010;25509;83202;21975;26397;24661;63421;155859;163781;123399;174692;48432;35557;9964;282806;126751;348608;140076;190765;365054;181242;104690;207714
777916;675758;230010;25509;83202;21975;26397;24661;63421;155859;163781;123399;174692;48432;35557;9964;282806;126751;348608;140076;190765;365054;181242;104690;207714
777916;675758;230010;25509;83202;21975;26397;24661;63421;155859;163781;123399;174692;48432;35557;9964;282806;126751;348608;140076;190765;365054;181242;104690;207714
776663;675375;229678;25458;82754;21875;26342;24669;63095;155461;163877;123824;174603;48469;35510;9949;282736;126569;347767;139734;190271;364187;180931;104711;207105
